operator,product,offer,href,logo,year,ctaText,terms,bullets,payout,code,rating,regulator,payments,games,liveGames,smallPrint,readReviewHref,readReviewText,withdrawals
"Mr Vegas","Mr Vegas Casino","100% Welcome Bonus up to £200 + 11 Free Spins",https://example.com/mr-vegas,https://objects.kaxmedia.com/auto/o/200559/775e8a925e.png,2020,"Visit Casino","New customers only. Min deposit £10. Max bonus £200. Wagering 35x. Full T&amp;Cs apply.","Extensive Library of Slots &amp;Progressive Jackpots;Weekly 'Rainbow Friday' Cashback;Official Partner of Sheffield Wednesday F.C.",Instant,LUCKY26,4.9,"UK Gambling Commission",Visa;PayPal;Skrill,Slots;Roulette;Blackjack;Poker;Bingo,400.0+,"#ad 18+. GambleAware.org. Full T&amp;Cs apply.",https://example.com/mr-vegas-review,"Read Review","Fast withdrawals"
"Betway Casino","Betway Casino","100% Match Bonus up to €1,000",https://example.com/betway,https://picsum.photos/seed/betway/200/150,2006,"Play Now","18+. New players only. Min deposit €10. Wagering requirements apply.","Over 500 Casino Games;Live Dealer Tables;Fast Withdrawals;Mobile App Available",Instant,LUCKY26,4.2,"Malta Gaming Authority",Visa;PayPal;Neteller,Slots;Blackjack;Roulette,200.0+,"#ad 18+. BeGambleAware.org.",https://example.com/betway-review,"Read Review","Fast withdrawals"
"888 Casino","888 Casino","Get £100 Bonus + 100 Free Spins",https://example.com/888casino,https://picsum.photos/seed/888/200/120,1997,"Join Now","New customers only. £20 min deposit. 30x wagering.","Licensed in Multiple Jurisdictions;Award-Winning Support;Exclusive Jackpot Games;Regular Promotions",Instant,WELCOME888,4.6,"Gibraltar Gambling Commission",Visa;PayPal;Skrill,"Slots;Live Casino;Blackjack",300.0+,"#ad 18+. Full terms apply.",https://example.com/888-review,"Read Review","Fast withdrawals"
LeoVegas,"LeoVegas Casino","Welcome Package up to €1,600 + 100 Free Spins",https://example.com/leovegas,https://picsum.photos/seed/leovegas/200/120,2012,"Get Bonus","18+. New players only. Wagering 35x.","King of Mobile Casino;2,000+ Games;Same-Day Withdrawals;Multiple Payment Methods",Instant,LEO100,4.8,"Malta Gaming Authority",Visa;PayPal;Trustly,"Slots;Live Casino;Jackpots",500.0+,"#ad 18+. Full T&amp;Cs apply.",https://example.com/leovegas-review,"Read Review","Same-day withdrawals"
Casumo,"Casumo Casino","200% up to €50 + 50 Free Spins",https://example.com/casumo,https://picsum.photos/seed/casumo/200/120,2012,"Start Playing","New customers only. Wagering 30x.","Unique Gamification Features;Adventure-Based Rewards;Live Casino;Instant Play Platform",Instant,CASUMO50,4.4,"Malta Gaming Authority",Visa;PayPal;Skrill,Slots;Roulette;Blackjack,250.0+,"#ad 18+. BeGambleAware.org.",https://example.com/casumo-review,"Read Review","Fast withdrawals"
"Paddy Power","Paddy Power Casino","€10 Risk Free First Bet",https://example.com/paddypower,https://picsum.photos/seed/paddypower/200/120,1988,"Bet Now","18+. New customers only.","Irish-Founded Brand;Sports &amp;Casino Combined;Quirky Marketing;Trusted Since 1988",Instant,RISKFREE,4.3,"UK Gambling Commission","Visa;PayPal;Apple Pay","Sports Betting;Slots;Live Casino",150.0+,"#ad 18+. T&amp;Cs apply.",https://example.com/paddypower-review,"Read Review","Fast withdrawals"
PlayOJO,"PlayOJO Casino","50 Free Spins - No Wagering",https://example.com/playojo,https://picsum.photos/seed/playojo/200/120,2017,"Claim Spins","18+. No wagering requirements.","No Wagering Requirements;Fair Play Guarantee;Daily Promotions;Transparent Terms",Instant,NOWAGER,4.7,"Malta Gaming Authority",Visa;PayPal;Trustly,"Slots;Live Casino;Jackpots",200.0+,"#ad 18+. Full terms apply.",https://example.com/playojo-review,"Read Review","Fast withdrawals"
"Rizk Casino","Rizk Casino","Welcome Bonus up to €100 + 50 Free Spins",https://example.com/rizk,https://picsum.photos/seed/rizk/200/120,2016,"Play Now","New customers only. Wagering 35x.","Superhero Theme;Wheel of Rizk Feature;Fast Payouts;Live Chat Support",Instant,RIZK100,4.5,"Malta Gaming Authority",Visa;PayPal;Skrill,Slots;Roulette;Blackjack,180.0+,"#ad 18+. Full terms apply.",https://example.com/rizk-review,"Read Review","Fast withdrawals"
Unibet,"Unibet Casino","100% Deposit Match up to €100",https://example.com/unibet,https://picsum.photos/seed/unibet/200/120,1997,"Join Unibet","18+. New players only. Wagering 35x.","Established Brand;Sportsbook Integration;Live Streaming;Responsible Gaming Tools",Instant,UNI100,4.4,"Malta Gaming Authority",Visa;PayPal;Trustly,"Slots;Sportsbook;Live Casino",350.0+,"#ad 18+. BeGambleAware.org.",https://example.com/unibet-review,"Read Review","Fast withdrawals"
"Betfair Casino","Betfair Casino","Up to €100 in Bonus Funds",https://example.com/betfair,https://picsum.photos/seed/betfair/200/120,2000,"Get Started","New customers. Deposit &amp; stake €10.","Exchange Betting Available;Premium Live Casino;Exclusive Games;Trusted Operator",Instant,BETFAIR100,4.3,"UK Gambling Commission","Visa;PayPal;Apple Pay","Exchange Betting;Slots;Live Casino",300.0+,"#ad 18+. T&amp;Cs apply.",https://example.com/betfair-review,"Read Review","Fast withdrawals"
